y,x0,x1,p(y|x)
0.00E+00,6.01E-01,1.65E-01,9.71E-03
1.00E+00,8.72E-01,5.27E-01,1.00E+00
0.00E+00,3.73E-01,4.47E-01,1.90E-02
0.00E+00,1.36E-02,5.14E-02,3.58E-09
1.00E+00,5.83E-01,7.11E-01,9.97E-01
1.00E+00,9.08E-01,1.75E-01,8.95E-01
0.00E+00,4.00E-01,4.74E-01,5.64E-02
1.00E+00,8.33E-01,5.98E-01,1.00E+00
0.00E+00,4.82E-03,9.84E-01,2.38E-01
0.00E+00,7.50E-01,4.54E-02,2.16E-02
1.00E+00,6.79E-01,9.24E-01,1.00E+00
0.00E+00,2.96E-01,3.49E-01,5.41E-04
0.00E+00,2.04E-01,5.92E-01,9.18E-03
0.00E+00,2.20E-01,4.53E-01,8.30E-04
0.00E+00,1.45E-01,8.28E-01,2.23E-01
0.00E+00,2.51E-01,5.41E-01,9.22E-03
0.00E+00,4.45E-01,9.64E-02,8.98E-05
1.00E+00,2.53E-02,9.54E-01,2.10E-01
1.00E+00,8.80E-01,9.81E-01,1.00E+00
1.00E+00,7.94E-01,4.60E-01,9.95E-01
0.00E+00,2.69E-01,3.05E-01,1.28E-04
0.00E+00,5.27E-01,1.45E-01,1.33E-03
0.00E+00,6.43E-01,1.44E-01,1.55E-02
0.00E+00,2.76E-01,2.21E-02,5.53E-07
0.00E+00,5.58E-01,3.16E-01,7.27E-02
0.00E+00,2.08E-01,5.81E-01,8.06E-03
0.00E+00,5.87E-01,1.73E-01,8.30E-03
0.00E+00,3.81E-01,6.72E-01,6.64E-01
0.00E+00,3.81E-01,3.08E-02,6.23E-06
0.00E+00,4.90E-01,4.17E-02,7.87E-05
1.00E+00,6.68E-01,6.63E-01,9.99E-01
0.00E+00,3.42E-01,7.36E-01,7.57E-01
1.00E+00,8.34E-01,1.57E-01,5.49E-01
0.00E+00,4.92E-01,3.89E-01,7.40E-02
0.00E+00,2.75E-01,2.19E-01,2.66E-05
1.00E+00,9.51E-01,7.52E-01,1.00E+00
1.00E+00,7.22E-01,6.29E-01,9.99E-01
1.00E+00,7.22E-01,9.30E-01,1.00E+00
0.00E+00,1.35E-01,1.85E-01,6.86E-07
1.00E+00,6.85E-01,3.01E-01,4.61E-01
1.00E+00,9.17E-01,7.61E-01,1.00E+00
0.00E+00,7.30E-02,4.67E-01,4.79E-05
1.00E+00,8.45E-01,7.11E-01,1.00E+00
1.00E+00,8.76E-01,5.39E-01,1.00E+00
0.00E+00,6.68E-01,4.08E-01,8.33E-01
0.00E+00,1.94E-01,6.79E-01,4.05E-02
0.00E+00,6.99E-01,2.77E-02,5.23E-03
1.00E+00,4.86E-01,6.88E-01,9.63E-01
0.00E+00,1.53E-01,7.76E-01,1.07E-01
1.00E+00,4.26E-01,8.32E-01,9.92E-01
1.00E+00,7.73E-01,8.17E-01,1.00E+00
1.00E+00,2.81E-01,7.92E-01,7.17E-01
0.00E+00,3.97E-01,5.44E-01,1.82E-01
0.00E+00,1.56E-01,1.15E-01,2.66E-07
